direction,chrf++,spBLEU(spm-200),spBLEU(spm-100)
kin_Latn-ewe_Latn,35.4,14.1,19
kin_Latn-fao_Latn,38.7,19.7,21.1
kin_Latn-fij_Latn,42.9,19.2,22.5
kin_Latn-fin_Latn,42.2,21.5,20.2
kin_Latn-fon_Latn,20.3,5.8,9
kin_Latn-fra_Latn,49.8,31.6,30.9
kin_Latn-fur_Latn,40.4,21.6,23.1
kin_Latn-fuv_Latn,22.2,4.9,5.2
kin_Latn-gaz_Latn,33.3,9.6,11.4
kin_Latn-gla_Latn,41.6,19.6,23.1
kin_Latn-gle_Latn,44,25.1,28.1
kin_Latn-glg_Latn,45.7,24.6,25.3
kin_Latn-grn_Latn,31.2,12.3,14.5
kin_Latn-guj_Gujr,39.1,22.7,25.6
kin_Latn-hat_Latn,41.2,19.8,21.7
kin_Latn-hau_Latn,43.2,20.2,21.9
kin_Latn-heb_Hebr,41.5,26.2,24.6
kin_Latn-hin_Deva,41.6,23.9,25.3
kin_Latn-hne_Deva,37.2,18.3,22.5
kin_Latn-hrv_Latn,43.7,24.1,22.6
kin_Latn-hun_Latn,41.4,22.7,21
kin_Latn-hye_Armn,40.7,25.7,25.6
kin_Latn-ibo_Latn,36.3,16.1,20.5
kin_Latn-ilo_Latn,44.6,19.9,21.8
kin_Latn-ind_Latn,52.5,29.6,29.3
kin_Latn-isl_Latn,39.8,22.8,22.3
kin_Latn-ita_Latn,44.2,23.8,23.3
kin_Latn-jav_Latn,43.4,19,21.5
kin_Latn-jpn_Jpan,20.4,13.2,16.4
kin_Latn-kab_Latn,31.1,12.9,15
kin_Latn-kac_Latn,35,12.3,14.1
kin_Latn-kam_Latn,24.2,5.2,6.2
kin_Latn-kan_Knda,40.7,24.6,25.7
kin_Latn-kas_Arab,25.7,11.9,13.4
kin_Latn-kas_Deva,14.1,3.1,3.9
kin_Latn-kat_Geor,39.6,23.9,22.3
kin_Latn-kaz_Cyrl,39.9,21.3,22
kin_Latn-kbp_Latn,26.2,9.6,16.8
kin_Latn-kea_Latn,34.2,14.8,15.5
kin_Latn-khk_Cyrl,35.8,18.9,16.4
kin_Latn-khm_Khmr,31.5,17.8,17.1
kin_Latn-kik_Latn,31.5,11.1,16.9
kin_Latn-kir_Cyrl,37.2,19.5,21.7
kin_Latn-kmb_Latn,24.1,4.2,5.2
kin_Latn-kmr_Latn,33.1,14.2,15.6
kin_Latn-knc_Arab,9.3,5.5,5.6
kin_Latn-knc_Latn,24.8,6.3,6.7
kin_Latn-kon_Latn,42.7,16.6,20.8
kin_Latn-kor_Hang,25.5,17.2,18.5
kin_Latn-lao_Laoo,38.6,22.3,25.5
kin_Latn-lij_Latn,37.6,21.4,21.8
kin_Latn-lim_Latn,35.7,15.1,15.1
kin_Latn-lin_Latn,45,19,22.6
kin_Latn-lit_Latn,42.1,21.4,21.5
kin_Latn-lmo_Latn,28.3,7.1,7.1
kin_Latn-ltg_Latn,36.9,19,20.8
kin_Latn-ltz_Latn,40.4,20.4,22.3
kin_Latn-lua_Latn,33.4,8.8,10.8
kin_Latn-lug_Latn,35.9,11.2,13.5
kin_Latn-luo_Latn,36,13.1,15.6
kin_Latn-lus_Latn,33.8,11.8,13.8
kin_Latn-lvs_Latn,41.2,21.3,21.8
kin_Latn-mag_Deva,40,21.7,24.1
kin_Latn-mai_Deva,31.6,13.6,18.2
kin_Latn-mal_Mlym,38.2,23.3,23.3
kin_Latn-mar_Deva,36.7,19.3,20.1
kin_Latn-min_Latn,42.1,18.5,20.7
kin_Latn-mkd_Cyrl,46.3,26.3,26.1
kin_Latn-mlt_Latn,45.2,28.2,33
kin_Latn-mni_Beng,31.1,19.1,29.8
kin_Latn-mos_Latn,22.2,5.5,8.9
kin_Latn-mri_Latn,39.5,16.6,18.8
kin_Latn-mya_Mymr,25.9,11.8,14.3
kin_Latn-nld_Latn,43.7,22.5,21.4
kin_Latn-nno_Latn,40,19,19
kin_Latn-nob_Latn,43.6,22,21.4
kin_Latn-npi_Deva,32.6,17.1,17.5
kin_Latn-nso_Latn,44.2,20.6,23.9
kin_Latn-nus_Latn,26.9,12.6,15.8
kin_Latn-nya_Latn,39.8,13.8,18.7
kin_Latn-oci_Latn,42.4,22.9,23.7
kin_Latn-ory_Orya,34.8,19.1,22.7
kin_Latn-pag_Latn,40.1,15.7,17.3
kin_Latn-pan_Guru,37.1,23.1,25.6
kin_Latn-pap_Latn,44.3,24.8,26
kin_Latn-pbt_Arab,31.8,16.1,15.7
kin_Latn-pes_Arab,39.6,22.9,22.4
kin_Latn-plt_Latn,43.2,18.5,21.1
kin_Latn-pol_Latn,38.7,21.3,18.9
kin_Latn-por_Latn,48.9,29.9,29
kin_Latn-prs_Arab,39.2,19.3,18.8
kin_Latn-quy_Latn,25.7,5.1,6.4
kin_Latn-ron_Latn,45.7,27.3,25.6
kin_Latn-run_Latn,40.6,18.2,22.5
kin_Latn-rus_Cyrl,42.8,26.1,23.8
kin_Latn-sag_Latn,34.1,9.5,11.8
kin_Latn-san_Deva,21.8,5.6,7.5
kin_Latn-sat_Olck,21.8,13.7,15.1
kin_Latn-scn_Latn,36.4,15.2,15.8
kin_Latn-shn_Mymr,30.7,11.8,20.6
kin_Latn-sin_Sinh,34.3,24.8,21.6
kin_Latn-slk_Latn,42.5,24.4,23.8
kin_Latn-slv_Latn,43.2,23.6,23.3
kin_Latn-smo_Latn,44,21.1,24.9
kin_Latn-sna_Latn,39.3,15.6,19.6
kin_Latn-snd_Arab,35.2,19.5,23.3
kin_Latn-som_Latn,37.9,14.2,14.1
kin_Latn-sot_Latn,40.4,16.2,19.4
kin_Latn-spa_Latn,43.3,22,21.5
kin_Latn-srd_Latn,43.7,23,24.2
kin_Latn-srp_Cyrl,43.1,24.5,24.6
kin_Latn-ssw_Latn,38.9,15.6,19.6
kin_Latn-sun_Latn,37.4,15,15.8
kin_Latn-swe_Latn,46.9,27.4,25.9
kin_Latn-swh_Latn,47.9,24.9,25.6
kin_Latn-szl_Latn,36.4,19.8,21.6
kin_Latn-tam_Taml,42.4,23.8,23.6
kin_Latn-taq_Latn,20.9,3.9,4.6
kin_Latn-taq_Tfng,15.8,4.9,5.1
kin_Latn-tat_Cyrl,39,21.2,30.1
kin_Latn-tel_Telu,40.2,24.6,25.6
kin_Latn-tgk_Cyrl,40.8,23.6,27.7
kin_Latn-tgl_Latn,48.9,25.1,26.1
kin_Latn-tha_Thai,34.6,25.8,17.5
kin_Latn-tir_Ethi,21.1,12.9,15.3
kin_Latn-tpi_Latn,38.9,15.1,19.6
kin_Latn-tsn_Latn,43.9,20.7,24.1
kin_Latn-tso_Latn,44.3,20.5,26.5
kin_Latn-tuk_Latn,34,14.8,19.8
kin_Latn-tum_Latn,32.8,11.3,15.2
kin_Latn-tur_Latn,43.3,24.5,23.3
kin_Latn-twi_Latn,34.5,12.4,17.9
kin_Latn-tzm_Tfng,28.3,17.3,22.7
kin_Latn-uig_Arab,31.5,16.8,27
kin_Latn-ukr_Cyrl,41.3,23.4,22.5
kin_Latn-umb_Latn,25.4,3.6,4.9
kin_Latn-urd_Arab,38.2,20.3,19.8
kin_Latn-uzn_Latn,38.8,18.5,21.1
kin_Latn-vec_Latn,39.1,17.2,17.3
kin_Latn-vie_Latn,47.5,30,29.7
kin_Latn-war_Latn,44.7,21.2,22.6
kin_Latn-wol_Latn,27.4,8.7,10.4
kin_Latn-xho_Latn,40.3,17.6,21.4
kin_Latn-ydd_Hebr,30.1,10.9,17.3
kin_Latn-yor_Latn,24.3,9.4,12.7
kin_Latn-yue_Hant,13.4,10.3,9.1
kin_Latn-zho_Hans,16.8,17.9,15.1
kin_Latn-zho_Hant,10.5,8.8,7.3
kin_Latn-zsm_Latn,51.5,27.9,27.6
kin_Latn-zul_Latn,44.2,21.8,25.8
kir_Cyrl-ace_Arab,14.4,3.6,3.8
kir_Cyrl-ace_Latn,29.9,7,7.7
kir_Cyrl-acm_Arab,19.7,4.6,3.2
kir_Cyrl-acq_Arab,30.4,15,11.5
kir_Cyrl-aeb_Arab,27.1,11.3,8.5
kir_Cyrl-afr_Latn,43.3,20.3,20.4
kir_Cyrl-ajp_Arab,35,19.1,15.1
kir_Cyrl-aka_Latn,26.6,6.6,9.8
kir_Cyrl-als_Latn,42.3,21.6,21.7
kir_Cyrl-amh_Ethi,26,18.8,20.5
kir_Cyrl-apc_Arab,34.8,19.1,15.5
kir_Cyrl-arb_Arab,38.7,23.1,19
kir_Cyrl-ars_Arab,34.6,19.2,15.4
kir_Cyrl-ary_Arab,30.2,14.6,10.7
kir_Cyrl-arz_Arab,35,19.6,15.7
kir_Cyrl-asm_Beng,28.8,15.7,19.7
kir_Cyrl-ast_Latn,40.9,18.3,19.4
kir_Cyrl-awa_Deva,30.6,14.1,15.5
kir_Cyrl-ayr_Latn,26.9,5.7,8.6
kir_Cyrl-azb_Arab,20.3,3.9,3.5
kir_Cyrl-azj_Latn,36.8,18.5,16.5
kir_Cyrl-bak_Cyrl,41.6,23.5,34.3
kir_Cyrl-bam_Latn,24.8,5.3,7.8
kir_Cyrl-ban_Latn,35.1,10.9,12.4
kir_Cyrl-bel_Cyrl,35.6,20.5,18.2
kir_Cyrl-bem_Latn,30.4,7.3,8.9
kir_Cyrl-ben_Beng,35.8,21.9,22.9
kir_Cyrl-bho_Deva,32.9,14.5,16.7
kir_Cyrl-bjn_Arab,14.3,3.6,3.5
kir_Cyrl-bjn_Latn,36.6,10.9,10.9
kir_Cyrl-bod_Tibt,25.7,5.9,1
kir_Cyrl-bos_Latn,42.3,21.5,20
kir_Cyrl-bug_Latn,28,5.8,6.8
kir_Cyrl-bul_Cyrl,46.4,28,25.8
kir_Cyrl-cat_Latn,45.7,25.9,25.8
kir_Cyrl-ceb_Latn,43.5,18.9,20.1
kir_Cyrl-ces_Latn,40,22.1,20.9
kir_Cyrl-cjk_Latn,21.2,2.4,3
kir_Cyrl-ckb_Arab,35.3,15.8,17.7
kir_Cyrl-crh_Latn,38.1,17.9,20.2
kir_Cyrl-cym_Latn,44.3,26.6,27.2
kir_Cyrl-dan_Latn,44.8,23.3,22.6
kir_Cyrl-deu_Latn,44,23.1,21.4
kir_Cyrl-dik_Latn,20.6,4,5.3
kir_Cyrl-dyu_Latn,15.8,1.7,1.9
kir_Cyrl-dzo_Tibt,30.5,9.9,3
kir_Cyrl-ell_Grek,39.3,24.9,22.2
kir_Cyrl-eng_Latn,50.1,28.4,27.5
kir_Cyrl-epo_Latn,40.2,19.3,20.6
kir_Cyrl-est_Latn,41.7,20.3,20.3
kir_Cyrl-eus_Latn,37.3,15.7,16.6
kir_Cyrl-ewe_Latn,32.7,11.4,16.2
kir_Cyrl-fao_Latn,35.4,16,17
kir_Cyrl-fij_Latn,40.3,16.2,19.4
kir_Cyrl-fin_Latn,40.6,19.8,18.5
kir_Cyrl-fon_Latn,19.2,5.1,8.2
kir_Cyrl-fra_Latn,47.6,28.5,27.5
kir_Cyrl-fur_Latn,39.2,19.6,21
kir_Cyrl-fuv_Latn,20.3,3.7,4.1
kir_Cyrl-gaz_Latn,31.5,8.4,10.1
kir_Cyrl-gla_Latn,39.5,17.6,21
kir_Cyrl-gle_Latn,41.8,22.2,25.3
kir_Cyrl-glg_Latn,43.9,22,22.5
kir_Cyrl-grn_Latn,29.6,10.2,12.2
kir_Cyrl-guj_Gujr,36.9,21.5,24.5
kir_Cyrl-hat_Latn,38.8,16.3,18.5
kir_Cyrl-hau_Latn,38.9,15.2,16.9
kir_Cyrl-heb_Hebr,38.7,23.2,21.3
kir_Cyrl-hin_Deva,39.5,21.6,23.4
kir_Cyrl-hne_Deva,36.2,17.5,21.4
kir_Cyrl-hrv_Latn,42.4,21.5,20
kir_Cyrl-hun_Latn,40.8,22,20
kir_Cyrl-hye_Armn,40.5,26,25.5
kir_Cyrl-ibo_Latn,32.3,12.2,16.4
kir_Cyrl-ilo_Latn,41.9,16.6,18.5
kir_Cyrl-ind_Latn,49.1,24.3,23.9
kir_Cyrl-isl_Latn,37.1,19.4,18.6
kir_Cyrl-ita_Latn,43.1,22.5,21.8
kir_Cyrl-jav_Latn,39,14,15.5
kir_Cyrl-jpn_Jpan,19.5,11.9,15.3
kir_Cyrl-kab_Latn,28.7,10.6,12.5
kir_Cyrl-kac_Latn,33.9,10.6,12.4
kir_Cyrl-kam_Latn,24,4.5,5.3
kir_Cyrl-kan_Knda,39.3,24.4,25.2
kir_Cyrl-kas_Arab,24.8,11.2,12.3
kir_Cyrl-kas_Deva,13.7,2.8,3.6
kir_Cyrl-kat_Geor,40.6,26.2,24.1
kir_Cyrl-kaz_Cyrl,40.4,21.9,22.5
kir_Cyrl-kbp_Latn,25,8.4,16
kir_Cyrl-kea_Latn,29.5,10,10.6
kir_Cyrl-khk_Cyrl,35.9,18.8,16.1
kir_Cyrl-khm_Khmr,29.9,16.3,14.9
kir_Cyrl-kik_Latn,29.7,8.7,14.5
kir_Cyrl-kin_Latn,37.8,14.3,19
kir_Cyrl-kmb_Latn,23.2,3.2,4.3
kir_Cyrl-kmr_Latn,31.5,12.6,14.1
kir_Cyrl-knc_Arab,9.1,5.1,5.2
kir_Cyrl-knc_Latn,22.9,4.8,5.3
kir_Cyrl-kon_Latn,38.7,12.5,16.5
kir_Cyrl-kor_Hang,24.9,17.4,18.6
kir_Cyrl-lao_Laoo,35,19.5,22.3
kir_Cyrl-lij_Latn,36.2,18.5,18.9
kir_Cyrl-lim_Latn,32.9,11.8,11.7
kir_Cyrl-lin_Latn,40.5,14.2,17.7
kir_Cyrl-lit_Latn,41.9,21.2,21
kir_Cyrl-lmo_Latn,26.8,5.6,5.6
kir_Cyrl-ltg_Latn,36.8,17.9,19.6
kir_Cyrl-ltz_Latn,39,18.4,19.8
kir_Cyrl-lua_Latn,30.7,6.4,8.5
kir_Cyrl-lug_Latn,31.7,7.9,9.9
kir_Cyrl-luo_Latn,32.5,9.5,11.8
kir_Cyrl-lus_Latn,32.8,10.6,12.6
kir_Cyrl-lvs_Latn,40.8,19.8,20.2
kir_Cyrl-mag_Deva,38.8,20.5,22.5
kir_Cyrl-mai_Deva,30.5,12.6,16.5
kir_Cyrl-mal_Mlym,36.4,22.5,22.2
kir_Cyrl-mar_Deva,34.1,17.2,18
kir_Cyrl-min_Latn,39.4,14.8,16.7
kir_Cyrl-mkd_Cyrl,44.7,24,23.6
kir_Cyrl-mlt_Latn,41.5,23.5,27.7
kir_Cyrl-mni_Beng,29.9,18.3,28.1
kir_Cyrl-mos_Latn,20,4,7.6
kir_Cyrl-mri_Latn,37.1,14,16.2
kir_Cyrl-mya_Mymr,24.2,11.1,13.6
kir_Cyrl-nld_Latn,42.9,21.3,20.3
kir_Cyrl-nno_Latn,37,15.5,15.3
kir_Cyrl-nob_Latn,41.7,19.2,18.6
kir_Cyrl-npi_Deva,32.3,16.2,16.6
kir_Cyrl-nso_Latn,38.7,13.9,17.2
kir_Cyrl-nus_Latn,25,10.8,13.8
kir_Cyrl-nya_Latn,35.6,10.4,14.5
kir_Cyrl-oci_Latn,39.9,19.5,20.2
kir_Cyrl-ory_Orya,32.9,18.6,21.8
kir_Cyrl-pag_Latn,38.3,14.2,15.8
kir_Cyrl-pan_Guru,34.7,21.7,24.1
kir_Cyrl-pap_Latn,40.8,19.6,20.5
kir_Cyrl-pbt_Arab,29.6,14.2,13.5
kir_Cyrl-pes_Arab,37.5,20.8,20
kir_Cyrl-plt_Latn,40.2,15.5,17.9
kir_Cyrl-pol_Latn,38.3,20.5,18
kir_Cyrl-por_Latn,45.4,25.1,24.1
kir_Cyrl-prs_Arab,38.4,18.6,17.9
kir_Cyrl-quy_Latn,25,4.4,5.7
kir_Cyrl-ron_Latn,43.3,23.8,22
kir_Cyrl-run_Latn,34.7,13,16.3
kir_Cyrl-rus_Cyrl,42.8,25.2,22.5
kir_Cyrl-sag_Latn,32.1,7.6,9.9
kir_Cyrl-san_Deva,21.6,5.6,7.3
kir_Cyrl-sat_Olck,20.9,12.9,13.4
kir_Cyrl-scn_Latn,35.3,13.4,14
kir_Cyrl-shn_Mymr,28.7,10.4,18.4
kir_Cyrl-sin_Sinh,32.6,23.9,20.6
kir_Cyrl-slk_Latn,41,22.1,21.5
kir_Cyrl-slv_Latn,41.8,21.2,20.9
kir_Cyrl-smo_Latn,40.1,16.3,20.1
kir_Cyrl-sna_Latn,36.1,12.5,16.1
kir_Cyrl-snd_Arab,34.2,18.8,22.3
kir_Cyrl-som_Latn,34.2,10.9,10.9
kir_Cyrl-sot_Latn,35.9,11.2,14
kir_Cyrl-spa_Latn,42.6,21.1,20.6
kir_Cyrl-srd_Latn,40.5,19.2,20.2
kir_Cyrl-srp_Cyrl,41.7,22.3,22
kir_Cyrl-ssw_Latn,34.8,11.9,15.2
kir_Cyrl-sun_Latn,35.2,12.2,12.9
kir_Cyrl-swe_Latn,44.1,23.2,21.5
kir_Cyrl-swh_Latn,43.1,19.3,20.1
kir_Cyrl-szl_Latn,34.9,17.8,19.1
kir_Cyrl-tam_Taml,40.1,22,21.7
kir_Cyrl-taq_Latn,19.7,3.1,3.8
kir_Cyrl-taq_Tfng,14.9,4.3,4.6
kir_Cyrl-tat_Cyrl,39.9,22.5,30.2
kir_Cyrl-tel_Telu,38.4,23.7,24.4
kir_Cyrl-tgk_Cyrl,39.8,22.9,26.2
kir_Cyrl-tgl_Latn,45,20.2,21.2
kir_Cyrl-tha_Thai,32.5,24.5,15.6
kir_Cyrl-tir_Ethi,19.9,12.3,14.3
kir_Cyrl-tpi_Latn,36.4,11.9,16.4
kir_Cyrl-tsn_Latn,39.2,15.4,18.6
kir_Cyrl-tso_Latn,39.6,15.3,20.8
kir_Cyrl-tuk_Latn,35.2,15.8,20.5
kir_Cyrl-tum_Latn,30.1,8.8,12.8
kir_Cyrl-tur_Latn,41.4,22,20.7
kir_Cyrl-twi_Latn,30.6,9.1,13.8
kir_Cyrl-tzm_Tfng,26.5,15.5,20
kir_Cyrl-uig_Arab,28.9,14.8,24.2
kir_Cyrl-ukr_Cyrl,41.3,23.5,22.2
kir_Cyrl-umb_Latn,23.6,2.6,3.8
kir_Cyrl-urd_Arab,36.2,18.8,18.2
kir_Cyrl-uzn_Latn,40.7,21.2,23.5
kir_Cyrl-vec_Latn,36.6,13.8,13.7
kir_Cyrl-vie_Latn,45.4,26,25.5
kir_Cyrl-war_Latn,41.7,17.4,18.7
kir_Cyrl-wol_Latn,24.4,6.3,7.9
kir_Cyrl-xho_Latn,35,12.6,15.7
kir_Cyrl-ydd_Hebr,28.8,10.7,16.7
kir_Cyrl-yor_Latn,21.1,6.5,9.5
kir_Cyrl-yue_Hant,13.2,10,8.7
kir_Cyrl-zho_Hans,15.2,15.8,13.1
kir_Cyrl-zho_Hant,10.3,8.6,7.2
kir_Cyrl-zsm_Latn,47.5,22.2,21.9
kir_Cyrl-zul_Latn,38.4,15.7,19.4
kmb_Latn-ace_Arab,12.7,2.7,2.8
kmb_Latn-ace_Latn,25.5,5.9,6.3
kmb_Latn-acm_Arab,11.8,1.5,1.1
kmb_Latn-acq_Arab,16.9,6.1,5
kmb_Latn-aeb_Arab,14.5,2.6,1.9
kmb_Latn-afr_Latn,30.5,10.9,10.9
kmb_Latn-ajp_Arab,22.3,9.1,7.3
kmb_Latn-aka_Latn,23.1,5.4,7
kmb_Latn-als_Latn,29.5,11.4,11.4
kmb_Latn-amh_Ethi,12.9,8,8.5
kmb_Latn-apc_Arab,24.1,10.5,8.6
kmb_Latn-arb_Arab,25.9,12.1,10
kmb_Latn-ars_Arab,16.6,7.1,5.8
kmb_Latn-ary_Arab,20.7,6.6,5.1
kmb_Latn-arz_Arab,24.3,10.6,8.7
kmb_Latn-asm_Beng,14.2,5.7,6.7
kmb_Latn-ast_Latn,28.5,10.5,11.2
kmb_Latn-awa_Deva,21,9,10
kmb_Latn-ayr_Latn,21.8,3.5,4.7
kmb_Latn-azb_Arab,14.6,2.3,2.1
kmb_Latn-azj_Latn,24.1,8.5,7.4
kmb_Latn-bak_Cyrl,24.4,9.7,16
kmb_Latn-bam_Latn,21.6,4.7,6.1
kmb_Latn-ban_Latn,27.6,7.6,8.4
kmb_Latn-bel_Cyrl,23.3,9.6,8.4
kmb_Latn-bem_Latn,26.1,5.6,6.5
kmb_Latn-ben_Beng,21.2,10.6,10.5
kmb_Latn-bho_Deva,23.1,8.9,10.1
kmb_Latn-bjn_Arab,12.4,3,3.1
kmb_Latn-bjn_Latn,30.3,9,8.9
kmb_Latn-bod_Tibt,20.6,3.6,1.6
kmb_Latn-bos_Latn,27.7,10.1,9.4
kmb_Latn-bug_Latn,23.9,4.9,5.8
kmb_Latn-bul_Cyrl,29.5,13.3,12.3
kmb_Latn-cat_Latn,31.5,14.8,14.8
kmb_Latn-ceb_Latn,33.5,12.2,12.4
kmb_Latn-ces_Latn,25.9,10.7,10.1
kmb_Latn-cjk_Latn,20,2.7,3
kmb_Latn-ckb_Arab,25,8.6,9.4
kmb_Latn-crh_Latn,25.4,8.3,9.3
kmb_Latn-cym_Latn,30.3,14.5,14.6
kmb_Latn-dan_Latn,30.2,11.8,11.4
kmb_Latn-deu_Latn,29.5,11.2,10.3
kmb_Latn-dik_Latn,19.5,4.1,5.2
kmb_Latn-dyu_Latn,13.8,1.4,1.5
kmb_Latn-dzo_Tibt,24.4,6.3,2.4
kmb_Latn-ell_Grek,26.4,13.3,11.9
kmb_Latn-eng_Latn,33.9,16.2,16
kmb_Latn-epo_Latn,30.6,12.2,12.9
kmb_Latn-est_Latn,28,9.8,9.6
kmb_Latn-eus_Latn,27.3,8.8,8.9
kmb_Latn-ewe_Latn,26.9,8.1,10.7
kmb_Latn-fao_Latn,26.6,9.3,9.5
kmb_Latn-fij_Latn,33.5,11.8,13.5
kmb_Latn-fin_Latn,28,10,9.3
kmb_Latn-fon_Latn,17.9,4.1,6.5
kmb_Latn-fra_Latn,30,13.8,13.4
kmb_Latn-fur_Latn,28.8,11.4,12
kmb_Latn-fuv_Latn,17.8,3.2,3.5
kmb_Latn-gaz_Latn,24.6,4.4,5.3
kmb_Latn-gla_Latn,29.1,9.7,11
kmb_Latn-gle_Latn,29.2,11.4,12.6
kmb_Latn-glg_Latn,30.4,12.6,12.8
kmb_Latn-grn_Latn,22.7,6.4,7.4
kmb_Latn-guj_Gujr,20,9.6,10.2
kmb_Latn-hat_Latn,27.2,8.8,9.5
kmb_Latn-hau_Latn,27.8,8.1,8.5
kmb_Latn-heb_Hebr,25.6,12.3,11.1
kmb_Latn-hin_Deva,23.4,10.4,11.1
kmb_Latn-hne_Deva,23.9,10.5,12.9
kmb_Latn-hrv_Latn,28.3,10.6,9.8
kmb_Latn-hun_Latn,27.4,11.3,10.3
kmb_Latn-hye_Armn,22.5,10.7,10.3
kmb_Latn-ibo_Latn,22,6.9,8.6
kmb_Latn-ilo_Latn,33.2,10.6,11.3
kmb_Latn-ind_Latn,34.2,13.9,13.6
kmb_Latn-isl_Latn,26,10.7,10.1
kmb_Latn-ita_Latn,29.8,12.1,11.8
kmb_Latn-jav_Latn,26.8,8.6,8.6
kmb_Latn-jpn_Jpan,12.5,5,6.4
kmb_Latn-kab_Latn,22.1,6.5,7.6
kmb_Latn-kac_Latn,28.8,7.7,8.6
kmb_Latn-kam_Latn,21.9,4.2,4.7
kmb_Latn-kan_Knda,22.9,11.6,11.5
kmb_Latn-kas_Arab,17.7,7.4,8.3
kmb_Latn-kas_Deva,10.6,1.9,2.5
kmb_Latn-kat_Geor,21.4,9.7,8.6
kmb_Latn-kaz_Cyrl,25.6,10.4,10.3
kmb_Latn-kbp_Latn,22.7,7,13
kmb_Latn-kea_Latn,22.9,6.7,6.9
kmb_Latn-khk_Cyrl,23.4,9.1,7.7
kmb_Latn-khm_Khmr,11.3,2.5,2
kmb_Latn-kik_Latn,26,7,11
kmb_Latn-kin_Latn,27.9,8,10
kmb_Latn-kir_Cyrl,24.2,9.7,10.1
kmb_Latn-kmr_Latn,24,7.9,8.5
kmb_Latn-knc_Arab,7.7,5,5
kmb_Latn-knc_Latn,21,4.3,4.6
kmb_Latn-kon_Latn,33.1,9.2,11.8
kmb_Latn-kor_Hang,14.5,7.8,8
kmb_Latn-lao_Laoo,22.4,5.6,5.9
kmb_Latn-lij_Latn,26.2,11.7,11.7
kmb_Latn-lim_Latn,24.6,7.6,7.4
kmb_Latn-lin_Latn,33.2,9.7,11.4
kmb_Latn-lit_Latn,26.9,9.7,9.3
kmb_Latn-lmo_Latn,21.7,4.7,4.6
kmb_Latn-ltg_Latn,25.6,9.1,10.1
kmb_Latn-ltz_Latn,27.2,10.1,11.1
kmb_Latn-lua_Latn,27.5,5.7,6.9
kmb_Latn-lug_Latn,24.5,5,5.8
kmb_Latn-luo_Latn,26.6,7,8
kmb_Latn-lus_Latn,26.9,7.7,8.6
kmb_Latn-lvs_Latn,27.1,9.6,9.7
kmb_Latn-mag_Deva,25.7,12,13.1
kmb_Latn-mai_Deva,18.3,6.6,8.7
kmb_Latn-mal_Mlym,20.1,9.4,8.9
kmb_Latn-mar_Deva,21.2,8.3,8.5
kmb_Latn-min_Latn,30.8,10.2,11.3
kmb_Latn-mkd_Cyrl,29,11.9,11.7
kmb_Latn-mlt_Latn,27.7,10.3,12.8
kmb_Latn-mni_Beng,20.9,10.3,17.3
kmb_Latn-mos_Latn,17.6,3.4,6.1
kmb_Latn-mri_Latn,31.8,11.2,12.7
kmb_Latn-mya_Mymr,14.9,4.9,5.3
kmb_Latn-nld_Latn,29.9,11.1,10.5
kmb_Latn-nno_Latn,26.6,8.9,8.7
kmb_Latn-nob_Latn,29,10.2,9.7
kmb_Latn-npi_Deva,15.4,6.3,6.3
kmb_Latn-nso_Latn,31.1,9.5,10.9
kmb_Latn-nus_Latn,21.9,8.8,11.1
kmb_Latn-nya_Latn,26.5,6.1,7.7
kmb_Latn-oci_Latn,28.6,11.9,12.2
kmb_Latn-ory_Orya,20.8,10,11.2
kmb_Latn-pag_Latn,31.1,10.3,11.3
kmb_Latn-pan_Guru,18.3,8.3,8.8
kmb_Latn-pap_Latn,29.6,11.4,11.9
kmb_Latn-pbt_Arab,20.4,7.9,7.3
kmb_Latn-pes_Arab,25,10.3,10
kmb_Latn-plt_Latn,27.2,7.3,7.9
kmb_Latn-pol_Latn,25.7,10.2,9.1
kmb_Latn-por_Latn,31.8,14.9,14.3
kmb_Latn-prs_Arab,26.4,9.8,9.6
kmb_Latn-quy_Latn,21.1,3.3,3.7
kmb_Latn-ron_Latn,28.6,11.5,10.8
kmb_Latn-run_Latn,27.8,8.5,10.2
kmb_Latn-rus_Cyrl,26.5,11.7,10.9
kmb_Latn-sag_Latn,28.3,6.4,8
kmb_Latn-san_Deva,13.9,2.6,3.4
kmb_Latn-sat_Olck,16.4,8.7,9.4
kmb_Latn-scn_Latn,25.4,7.6,7.7
kmb_Latn-shn_Mymr,25,7.3,13.4
kmb_Latn-sin_Sinh,17.5,9.4,8.2
kmb_Latn-slk_Latn,26.7,10.6,10.2
kmb_Latn-slv_Latn,29.1,11.5,11.1
kmb_Latn-smo_Latn,32.4,11.2,13
kmb_Latn-sna_Latn,28,8.1,9.5
kmb_Latn-snd_Arab,21.4,9.3,11.3
kmb_Latn-som_Latn,26.4,6.7,6.5
kmb_Latn-sot_Latn,28.6,7.8,8.9
kmb_Latn-spa_Latn,30.3,11.7,11.5
kmb_Latn-srd_Latn,29.8,10.8,11.3
kmb_Latn-srp_Cyrl,26.5,10.1,10
kmb_Latn-ssw_Latn,28.8,8.9,10.7
kmb_Latn-sun_Latn,25.9,7.6,7.7
kmb_Latn-swe_Latn,29.7,11.7,11.1
kmb_Latn-swh_Latn,31.5,10.7,10.9
kmb_Latn-szl_Latn,25,9.8,10.8
kmb_Latn-tam_Taml,23.6,9.8,9.3
